ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,1.570796325987011645e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326067800102e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326140509735e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326205948492e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326264843439e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326317848782e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326365553677e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326408487866e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326447128615e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326481905484e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326513204666e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326541373756e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326566726089e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326589543124e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326610078347e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326628560308e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326645193921e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326660164150e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326673637097e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326685763031e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326696676177e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326706498398e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326715338332e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326723294207e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326730454278e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326736898559e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326742698390e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326747917956e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326752616021e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326756843976e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326760649309e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326764074087e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326767156257e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326769930079e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326772426780e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326774673898e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326776696152e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326778516093e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326780154323e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326781628404e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326782955034e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326784149174e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326785223835e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326786191160e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326787061558e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326787845002e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326788550384e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326789184860e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326789756017e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326790269929e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326790732667e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326791149000e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326791523700e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326791860887e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326792164681e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326792437683e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326792683580e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326792904757e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326793104034e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326793283361e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326793444690e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326793589756e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326793720511e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326793838255e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326793944073e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794039266e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794124918e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794202113e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794271502e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794333952e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794390331e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794440855e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794486391e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794527374e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794564454e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794597630e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794627554e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794654659e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794678729e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794700413e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794720145e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794737926e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794753756e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794767850e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794780644e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794792136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794802762e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794812302e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794820542e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794828132e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794835071e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794841142e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794846563e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794851551e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794856104e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794860224e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794863911e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794867163e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794870199e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794872801e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794875186e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794877355e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794879306e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794881041e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794882776e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794884077e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794885161e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794886245e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794887329e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794888197e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794889064e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794889931e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794890582e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794891016e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794891666e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794892100e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794892750e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794892967e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794893184e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794893618e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794893834e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794894051e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794894268e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794894702e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794894919e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326794895136e-03,-9.794841972265039942e+00
